Position,Players,PPG,RPG,APG,SPG,BPG,FGM,FGA,FG %,2PM,2PA,2PT%,3PM,3PA,3PT %,FTM,Scoring Rating,Rebound Rating,Assist Rating,Steal Rating,Block Rating,Efficiency Rating,2-Pointer Rating,3-Poimter Rating,Overall Rating
PF,Blake Griffin,12.8,6.7,3.5,0.4,1.5,5.7,7,79.61%,4.7,5.7,81.33%,1,1.3,81.54%,0.4,10.21,19.26,12.69,3.5,9.38,10.96,11.84,7.07,42.45
PF,Tobias Harris,12.7,4.3,3,1.2,1,5,5.5,90.40%,2.9,3.1,94.55%,2.1,2.4,85.23%,0.3,11.34,12.38,10.98,10.69,6.25,9.56,8.54,14.8,42.27
PG,Ayo Dosunmu,9.3,3.5,5.9,3.8,0.6,3.4,3.9,87.60%,1.4,1.4,97.87%,2,2.5,81.71%,0.1,7.93,14.06,14.7,19.24,5.76,6.59,5.33,9.87,41.74
PG,Rajon Rondo,7.4,2.9,7.6,4.5,0.6,2.8,3.2,88.76%,1.4,1.5,93.33%,1.4,1.7,82.98%,0.3,6.64,11.6,19,22.5,6,5.38,5.1,6.92,41.57
PG,Gilbert Arenas,14.2,2.2,5.3,3,0.3,5.5,7.2,76.38%,2.3,2.7,85.19%,3.2,4.5,71.50%,0.4,10.85,8.8,13.25,15,3,10.58,7.65,13.62,41.37
SF,Scottie Pippen,12.3,4.5,5.4,0.7,0.8,4.8,5.5,87.80%,2.9,3.2,91.22%,1.9,2.3,83.02%,0.5,10.86,14.63,17.45,5.05,5.71,9.32,8.37,11.34,41.36
SF,Michael Beasley,12.3,3.7,5.4,1,0.7,5.1,6,87.10%,4,4.5,87.64%,1.1,1.5,76.60%,0.8,11.24,12.03,17.55,7.5,5.25,9.81,10.87,6.18,40.21
PF,Julius Randle,10.4,3.9,4.9,1.1,0.9,4.4,5,88.27%,3.2,3.3,95.51%,1.2,1.7,72.82%,0.5,9.36,11.21,17.76,9.63,5.63,8.46,9.52,7.34,39.45
PF,Kevin McHale,12.9,5.8,2.9,0.3,1.3,6,6.9,87.31%,5.7,6.5,87.69%,0.3,0.4,70.83%,0.6,11.5,16.68,10.51,2.63,8.13,11.54,15.62,1.77,39.18
SG,Lonnie Walker IV,15.3,1.7,3.3,1.2,0.4,5.7,6.3,90.51%,2.2,2.4,91.67%,3.5,3.9,90.26%,0.4,13.71,6.16,9.49,7.5,3.5,10.96,7.88,18.8,39
SF,Jeff Green,13.3,4.2,3.6,0.5,0.7,5.1,5.9,86.82%,2.9,2.9,100.00%,2.2,3,73.89%,0.9,12.09,13.8,11.77,4.1,5.38,9.8,9.08,11.55,38.78
SF,Jayson Tatum,14.6,4.2,2.5,0.7,0.9,6.1,8,74.71%,4.1,5.6,74.23%,2,2.5,80.89%,0.5,10.97,13.65,8.13,5.25,6.75,11.73,9.56,11.44,38.74
PF,Draymond Green,8.6,3.6,6.3,0.8,1.4,3.4,4.4,76.06%,1.9,2.5,76.00%,1.5,1.9,80.00%,0.4,6.74,10.35,22.84,7,8.75,6.54,4.51,10,38.37
PG,Tre Mann,10.9,2.9,5,2.9,0.2,4.1,4.9,84.67%,1.2,1.6,75.00%,2.9,3.3,87.91%,0.3,9.18,11.6,12.5,14.5,2,7.88,3.52,15.17,38.18
SG,Tracy McGrady,15.4,2.5,3.7,0.8,0.5,6.2,8,82.60%,3.8,4.9,78.69%,2.4,3.1,75.73%,0.5,12.81,9.06,10.64,5,4.38,11.92,11.8,10.64,38.13
SF,Julius Erving,15,2.3,2.9,1.1,0.4,6,7,83.91%,3.5,3.6,94.78%,2.6,3.4,75.68%,0.4,12.45,7.48,9.43,8.25,3,11.54,10.22,13.78,38.07
PG,Isaiah Thomas,13.6,2.1,5,2.4,0.3,5,6.3,79.33%,2.8,2.9,96.55%,2.2,3.4,64.20%,0.9,11.42,8.4,12.5,12,3,9.62,10.56,8.41,37.95
PF,Chris Bosh,11.6,5.9,2.2,0.3,1.5,4.9,5.7,85.09%,3.1,3.3,93.94%,1.8,2.4,72.92%,0.5,10.04,16.96,7.79,2.63,9.38,9.33,9.1,10.63,37.93
SF,Rudy Gay,13.9,4.4,4,0.3,0.3,5.7,7,82.73%,3.8,4.7,80.30%,1.9,2.3,83.56%,0.6,11.76,14.3,13,2.25,2.25,10.96,9.51,11.4,37.72
PG,Jalen Suggs,13.2,2,4.6,2.4,0.4,4.9,5.8,83.21%,1.8,2.1,84.31%,3.1,3.7,82.58%,0.2,10.73,7.83,11.56,11.88,3.54,9.33,4.72,15.05,37.33
PG,Andre Miller,6.9,3.5,7.3,2.4,0.7,2.8,3,89.88%,2.2,2.3,95.71%,0.6,0.7,86.11%,0.4,6.42,14,18.25,12,7,5.38,8.34,2.92,37.16
SG,Rudy Fernandez,14.9,1.7,3.4,1.1,0.4,5.4,6.2,86.64%,1.7,1.9,89.47%,3.7,4.3,86.55%,0.2,12.57,6.16,9.78,6.88,3.5,10.38,5.94,19.06,37.13
