Position,Players,PPG,RPG,APG,SPG,BPG,FGM,FGA,FG %,2PM,2PA,2PT%,3PM,3PA,3PT %,FTM,Scoring Rating,Rebound Rating,Assist Rating,Steal Rating,Block Rating,Efficiency Rating,2-Pointer Rating,3-Poimter Rating,Overall Rating
SF,Tony Snell,7.4,1,1.6,0.6,0.2,3,3.5,84.85%,1.1,1.1,93.75%,1.9,2.4,80.60%,0,6.06,3.13,5.11,4.55,1.61,5.77,3.14,11.1,20.24
SG,Chris Morris,6.6,1.3,2.5,0.4,0.3,2.6,2.9,89.39%,1.3,1.3,100.00%,1.3,1.6,86.11%,0.1,5.75,4.23,8.13,3,2.25,5,4.06,8,20.21
PF,Maurice Lucas,5.8,3,1.8,0.5,0.5,2.6,3.1,82.14%,2.2,2.3,92.86%,0.4,0.8,50.00%,0.3,4.95,8.63,6.44,4.38,3.13,4.91,6.29,1.62,20.17
SF,Doug McDermott,7.3,0.9,2.2,0.3,0.4,2.6,3.1,85.06%,0.9,1,92.86%,1.7,2.1,81.36%,0.1,6.06,3.02,7.08,2.41,3.21,5.08,2.69,9.96,19.76
C,Mark Eaton,3.9,6,1.4,0,1.5,1.8,2.4,75.00%,1.8,2.2,81.82%,0,0.2,0.00%,0.3,3.17,15,5.6,0,7.5,3.46,4.6,0,19.66
C,James Donaldson,5.6,4,1.5,0.2,0.6,2.7,3,84.21%,2.7,2.8,95.41%,0,0.2,0.00%,0.4,4.99,10,6,2,3,5.19,8.05,0,19.61
PF,Keith Van Horn,5.9,2.9,2.1,0.1,0.6,2.3,3,76.47%,1.3,1.3,100.00%,1,1.7,63.16%,0.3,4.68,8.34,7.61,0.88,3.75,4.42,4.06,5.26,19.5
SF,Joe Smith,4.5,2.7,2.4,0.4,0.6,1.8,2.1,86.84%,1.3,1.3,100.00%,0.6,0.8,66.67%,0.3,4.08,8.85,7.94,2.92,4.58,3.53,3.99,2.65,19.27
SF,Dean Wade,5.3,2.5,1.6,0.3,0.7,2.1,2.4,87.23%,1,1.1,90.48%,1.1,1.3,84.62%,0,4.41,7.96,5.2,2.25,5.25,3.94,2.69,6.65,19.18
SG,Dell Curry,7.5,1.3,2.4,0.3,0.2,2.7,3.4,80.39%,0.7,0.8,86.96%,2.1,2.6,78.48%,0,5.78,4.71,6.9,2.08,1.75,5.26,1.81,9.65,18.97
C,Robert Williams,5.4,3.8,1.3,0.1,1.1,2.7,3.3,82.05%,2.7,3.3,81.82%,0,0,0.00%,0.1,4.35,9.5,5.2,1,5.5,5.19,6.9,0,18.82
PF,Brandon Clarke,6.5,1.8,1.6,0.2,0.3,2.4,3,79.49%,0.7,0.8,90.00%,1.7,2.2,75.86%,0.1,5.06,5.09,5.86,2.02,1.92,4.59,1.95,10.7,18.59
SF,Bruce Bowen,4.9,1.7,2.2,0.7,0.5,1.7,2.3,75.56%,0.2,0.4,50.00%,1.5,1.9,76.32%,0,3.53,5.53,7.15,5.25,3.75,3.27,0.31,8.18,18.48
SG,Stanley Johnson,6.9,1.1,1.8,0.4,0.3,2.6,3.2,80.00%,1,1.3,77.14%,1.6,2,81.82%,0.1,5.44,3.88,5.24,2.46,2.81,4.95,2.32,7.83,17.46
SG,Eddie Johnson,7.4,0.6,1.6,0.4,0.1,2.6,3.4,76.60%,0.7,1,71.43%,1.9,2.4,78.79%,0.1,5.56,1.86,5.11,2.68,1.07,4.95,1.59,10.45,16.63
