Player Rank,Position,Players,PPG,RPG,APG,SPG,BPG,FGM,FGA,FG %,2PM,2PA,2PT%,3PM,3PA,3PT %,FTM,Scoring Rating,Rebound Rating,Assist Rating,Steal Rating,Block Rating,Efficiency Rating,2-Pointer Rating,3-Pointer Rating,Overall Rating,Title
240,SF,P.J Dozier,9.6,1.8,2.5,0.3,0.3,3.6,4.2,0.8,1.6,1.8,0.9,2.0,2.4,0.8,0.2,8.0,6.3,7.3,1.6,2.5,6.9,5.4,9.8,23.90,All - Star
241,PG,Collin Sexton,6.8,1.3,3.8,2.1,0.3,2.5,3.1,0.8,0.8,0.9,0.9,1.7,2.2,0.8,0.1,5.3,5.3,9.5,10.4,2.5,4.8,2.4,7.7,23.90,All - Star
242,C,Tyson Chandler,4.2,5.8,2.4,0.1,1.7,2.1,2.3,0.9,2.0,2.0,1.0,0.1,0.3,0.2,0.0,3.6,14.5,9.6,1.0,8.5,4.0,6.3,0.2,23.84,All - Star
243,PF,Jerry Lucas,7.0,3.4,2.9,0.2,0.6,3.0,3.7,0.8,2.4,2.8,0.9,0.6,0.9,0.7,0.3,5.7,9.8,10.5,1.8,3.8,5.8,6.4,3.3,23.49,All - Star
244,C,Channing Frye,5.8,4.5,2.1,0.3,1.3,2.4,3.4,0.7,1.6,1.6,1.0,0.8,1.8,0.5,0.2,4.1,11.3,8.2,3.3,6.7,4.6,4.9,3.6,23.33,All - Star
245,SF,Aaron Nesmith,8.4,1.7,2.1,0.3,0.3,3.1,3.4,0.9,1.1,1.3,0.8,2.0,2.1,0.9,0.3,7.8,5.5,6.8,2.3,2.3,6.0,2.9,13.1,23.30,All - Star
246,PG,Jeremy Lin,7.4,1.5,3.9,1.6,0.2,2.7,3.6,0.7,1.0,1.4,0.7,1.7,2.3,0.7,0.4,5.6,6.0,9.7,8.0,2.1,5.2,2.3,7.3,23.16,All - Star
247,PG,Cole Anthony,6.3,1.9,3.6,2.0,0.2,2.3,3.0,0.8,0.9,1.1,0.8,1.5,1.9,0.8,0.1,4.8,7.6,9.0,9.8,2.0,4.4,2.2,6.6,23.14,All - Star
248,SF,Joe Harris,10.6,1.2,1.8,0.3,0.1,3.8,6.0,0.7,0.8,2.4,0.3,3.0,3.6,0.8,0.3,7.3,3.9,5.9,2.3,0.8,7.3,0.8,17.9,23.07,All - Star
249,SF,Kevin Martin,8.9,2.0,1.4,0.2,0.3,3.3,3.8,0.9,1.2,1.3,0.9,2.1,2.4,0.9,0.1,7.7,6.4,4.5,1.6,2.3,6.4,3.4,13.5,22.90,All - Star
250,PG,Goran Dragic,6.1,0.7,4.0,2.6,0.0,2.3,2.6,0.9,0.8,0.8,1.0,1.4,1.8,0.8,0.1,5.1,2.7,9.9,13.2,0.3,4.4,3.3,6.9,22.87,All - Star
251,C,Ivica Zubac,5.0,4.6,1.7,0.6,1.2,2.4,3.0,0.8,2.0,2.3,0.9,0.4,0.7,0.5,0.1,3.9,11.6,6.9,5.6,6.0,4.5,5.4,1.8,22.86,All - Star
252,SG,Duncan Robinson,7.5,1.9,2.4,0.7,0.5,2.9,3.4,0.9,1.1,1.2,1.0,1.8,2.2,0.8,0.1,6.3,6.7,6.9,4.2,4.1,5.6,3.5,8.2,22.72,All - Star
253,C,Marvin Bagley III,5.0,5.7,1.6,0.4,1.1,2.3,3.0,0.8,1.9,2.1,0.9,0.4,0.9,0.4,0.0,3.7,14.3,6.4,4.0,5.5,4.4,5.4,1.7,22.65,All - Star
254,SG,Deni Avdija,7.1,1.3,2.3,1.1,0.5,2.7,3.1,0.8,0.9,1.1,0.8,1.7,2.0,0.9,0.0,5.8,4.9,6.8,6.8,4.2,5.1,2.3,9.0,22.40,All - Star
255,PF,Aleksej Pokusevski,5.6,3.4,3.0,0.1,1.1,2.0,2.7,0.7,1.1,1.3,0.8,0.9,1.4,0.7,0.4,4.5,9.8,10.9,0.9,6.9,3.9,2.9,5.0,22.31,All - Star
256,C,Alvan Adams,5.5,5.0,1.8,0.1,1.1,2.4,2.8,0.8,1.8,1.9,0.9,0.6,0.9,0.7,0.0,4.5,12.4,7.4,1.2,5.6,4.5,5.2,3.7,22.22,All - Star
257,SF,Bruce Brown,6.9,2.3,2.4,0.6,0.2,2.9,3.3,0.9,1.9,2.0,1.0,1.0,1.3,0.8,0.2,6.0,7.5,7.9,4.2,1.6,5.5,5.7,5.2,21.84,All - Star
258,SG,Bryn Forbes,7.5,0.7,2.7,1.7,0.0,2.6,3.2,0.8,0.6,0.7,0.9,2.0,2.5,0.8,0.0,5.9,2.5,7.8,10.6,0.0,5.0,2.0,9.5,21.68,All - Star
259,C,Jarred Vanderbilt,3.9,4.2,2.9,0.4,0.9,1.9,2.2,0.9,1.9,2.1,0.9,0.1,0.1,0.5,0.1,3.4,10.5,11.8,3.8,4.4,3.7,5.3,0.3,21.52,All - Star
260,SG,Billy Owens,6.2,1.8,3.3,0.8,0.3,2.7,4.0,0.7,1.3,2.3,0.6,1.4,1.7,0.8,0.1,4.2,6.5,9.5,5.0,2.6,5.2,2.8,7.0,21.45,All - Star
261,PF,Marcus Morris,6.5,2.9,1.3,0.5,0.8,2.5,3.4,0.7,1.7,1.8,0.9,0.9,1.6,0.5,0.4,5.2,8.4,4.8,4.7,5.0,4.9,4.8,3.9,20.84,All - Star
262,SG,Sean Elliot,8.2,2.1,1.6,0.4,0.2,3.2,4.1,0.8,1.7,1.8,0.9,1.5,2.3,0.7,0.4,6.6,7.6,4.6,2.5,1.8,6.2,6.3,6.0,20.70,All - Star
263,SG,Darius Miles,7.5,1.6,2.2,0.7,0.2,3.2,3.8,0.9,2.2,2.3,1.0,1.0,1.5,0.7,0.0,6.2,5.7,6.4,4.2,1.9,6.2,6.7,4.1,20.67,All - Star
264,SG,Luguentz Dort,7.9,0.8,2.1,0.6,0.4,2.9,3.4,0.9,0.8,0.9,0.9,2.1,2.5,0.8,0.0,6.5,2.9,6.0,3.8,3.5,5.6,2.8,10.2,20.64,All - Star
265,SF,Kenyon Martin Jr.,6.1,2.3,1.7,0.5,0.3,2.4,2.5,0.9,1.2,1.2,1.0,1.2,1.3,0.9,0.0,5.6,7.6,5.7,3.9,2.3,4.6,3.7,7.9,20.60,All - Star
266,PF,Maurice Harkless,6.3,2.9,2.3,0.4,0.8,2.2,3.4,0.6,1.2,1.7,0.7,1.0,1.7,0.6,0.0,3.9,8.4,8.5,3.5,5.0,4.2,2.6,5.0,20.56,All - Star
267,PF,Georges Niang,5.7,2.4,2.6,0.1,0.5,2.1,2.5,0.9,0.8,0.9,0.9,1.3,1.6,0.8,0.0,4.7,6.9,9.4,0.6,3.3,4.1,2.3,9.3,20.32,All - Star
268,SF,Tony Snell,7.4,1.0,1.6,0.6,0.2,3.0,3.5,0.8,1.1,1.1,0.9,1.9,2.4,0.8,0.0,6.1,3.1,5.1,4.6,1.6,5.8,3.1,11.1,20.24,All - Star
269,SG,Chris Morris,6.6,1.3,2.5,0.4,0.3,2.6,2.9,0.9,1.3,1.3,1.0,1.3,1.6,0.9,0.1,5.8,4.2,8.1,3.0,2.3,5.0,4.1,8.0,20.21,All - Star
270,PF,Maurice Lucas,5.8,3.0,1.8,0.5,0.5,2.6,3.1,0.8,2.2,2.3,0.9,0.4,0.8,0.5,0.3,5.0,8.6,6.4,4.4,3.1,4.9,6.3,1.6,20.17,All - Star
271,SF,Doug McDermott,7.3,0.9,2.2,0.3,0.4,2.6,3.1,0.9,0.9,1.0,0.9,1.7,2.1,0.8,0.1,6.1,3.0,7.1,2.4,3.2,5.1,2.7,10.0,19.76,All - Star
272,C,Mark Eaton,3.9,6.0,1.4,0.0,1.5,1.8,2.4,0.8,1.8,2.2,0.8,0.0,0.2,0.0,0.3,3.2,15.0,5.6,0.0,7.5,3.5,4.6,0.0,19.66,All - Star
273,C,James Donaldson,5.6,4.0,1.5,0.2,0.6,2.7,3.0,0.8,2.7,2.8,1.0,0.0,0.2,0.0,0.4,5.0,10.0,6.0,2.0,3.0,5.2,8.1,0.0,19.61,All - Star
274,PF,Keith Van Horn,5.9,2.9,2.1,0.1,0.6,2.3,3.0,0.8,1.3,1.3,1.0,1.0,1.7,0.6,0.3,4.7,8.3,7.6,0.9,3.8,4.4,4.1,5.3,19.50,All - Star
275,SF,Joe Smith,4.5,2.7,2.4,0.4,0.6,1.8,2.1,0.9,1.3,1.3,1.0,0.6,0.8,0.7,0.3,4.1,8.9,7.9,2.9,4.6,3.5,4.0,2.7,19.27,All - Star
276,SF,Dean Wade,5.3,2.5,1.6,0.3,0.7,2.1,2.4,0.9,1.0,1.1,0.9,1.1,1.3,0.8,0.0,4.4,8.0,5.2,2.3,5.3,3.9,2.7,6.7,19.18,All - Star
277,SG,Dell Curry,7.5,1.3,2.4,0.3,0.2,2.7,3.4,0.8,0.7,0.8,0.9,2.1,2.6,0.8,0.0,5.8,4.7,6.9,2.1,1.8,5.3,1.8,9.7,18.97,All - Star
278,C,Robert Williams,5.4,3.8,1.3,0.1,1.1,2.7,3.3,0.8,2.7,3.3,0.8,0.0,0.0,0.0,0.1,4.4,9.5,5.2,1.0,5.5,5.2,6.9,0.0,18.82,All - Star
279,PF,Brandon Clarke,6.5,1.8,1.6,0.2,0.3,2.4,3.0,0.8,0.7,0.8,0.9,1.7,2.2,0.8,0.1,5.1,5.1,5.9,2.0,1.9,4.6,2.0,10.7,18.59,All - Star
280,SF,Bruce Bowen,4.9,1.7,2.2,0.7,0.5,1.7,2.3,0.8,0.2,0.4,0.5,1.5,1.9,0.8,0.0,3.5,5.5,7.2,5.3,3.8,3.3,0.3,8.2,18.48,All - Star
281,SG,Stanley Johnson,6.9,1.1,1.8,0.4,0.3,2.6,3.2,0.8,1.0,1.3,0.8,1.6,2.0,0.8,0.1,5.4,3.9,5.2,2.5,2.8,5.0,2.3,7.8,17.46,All - Star
282,SG,Eddie Johnson,7.4,0.6,1.6,0.4,0.1,2.6,3.4,0.8,0.7,1.0,0.7,1.9,2.4,0.8,0.1,5.6,1.9,5.1,2.7,1.1,5.0,1.6,10.5,16.63,All - Star
