Player Rank,Position,Players,PPG,RPG,APG,SPG,BPG,FGM,FGA,FG %,2PM,2PA,2PT%,3PM,3PA,3PT %,FTM,Scoring Rating,Rebound Rating,Assist Rating,Steal Rating,Block Rating,Efficiency Rating,2-Pointer Rating,3-Pointer Rating,Overall Rating,Title
104,SF,Jerami Grant,12.8,3.4,2.7,0.5,0.8,5.3,6.2,0.9,3.2,3.3,1.0,2.1,2.9,0.7,0.4,10.9,11.1,8.8,3.8,6.0,10.2,9.7,11.1,35.70,All - Star
105,SG,Zach Lavine,15.0,1.8,2.9,1.1,0.2,5.9,6.7,0.9,2.8,3.0,0.9,3.1,3.7,0.8,0.5,13.0,6.4,8.4,7.1,2.0,11.3,8.1,15.0,35.65,All - Star
106,PG,Lonzo Ball,7.7,2.7,6.7,2.8,0.5,2.9,3.4,0.9,1.1,1.2,0.9,1.8,2.2,0.8,0.2,6.5,10.9,16.8,14.0,4.9,5.6,3.0,9.1,35.44,All - Star
107,SG,Michael Redd,15.6,1.0,2.3,0.3,0.4,6.5,7.1,0.9,3.5,3.3,1.1,3.0,3.8,0.8,0.7,14.4,3.6,6.6,1.9,3.5,12.5,14.5,13.9,35.44,All - Star
108,C,Alonzo Mourning,9.9,6.8,2.8,0.2,2.1,3.9,4.5,0.9,3.5,3.7,1.0,0.4,0.8,0.5,0.8,9.4,17.0,11.0,2.1,10.6,7.6,10.6,2.0,35.13,All - Star
109,PG,Steve Nash,8.2,1.3,8.5,3.4,0.1,3.2,3.6,0.9,1.5,1.6,0.9,1.7,2.0,0.8,0.1,7.0,5.3,21.2,17.0,0.9,6.1,4.3,8.3,35.01,All - Star
110,C,Bob McAdoo,9.5,5.6,3.8,0.3,1.5,4.4,5.2,0.8,3.9,4.4,0.9,0.5,0.8,0.6,0.5,8.2,13.9,15.0,3.2,7.5,8.5,11.0,2.7,34.99,All - Star
111,PF,Kenyon Martin,12.8,3.9,3.6,0.3,0.5,5.5,7.0,0.8,4.4,5.7,0.8,1.1,1.4,0.8,0.6,11.0,11.2,13.1,2.6,3.1,10.6,10.6,7.7,34.93,All - Star
112,SG,Jerry Sloan,13.7,2.0,4.3,0.6,0.7,5.2,7.0,0.7,2.3,3.4,0.7,2.9,3.7,0.8,0.4,10.2,7.4,12.4,3.7,6.0,10.1,6.2,13.7,34.82,All - Star
113,SG,Manu Ginobili,12.7,2.2,3.4,1.6,0.1,4.8,5.5,0.9,2.5,2.7,0.9,2.3,2.8,0.8,0.8,11.5,8.0,9.8,10.0,0.9,9.2,9.0,11.1,34.73,All - Star
114,PG,Dejounte Murray,8.5,1.8,6.2,3.3,0.2,3.6,3.9,0.9,2.3,2.4,1.0,1.3,1.5,0.9,0.1,7.7,7.1,15.6,16.5,1.7,7.0,7.0,6.9,34.71,All - Star
115,SG,Corey Kispert,13.4,2.5,3.0,1.1,0.3,5.0,6.0,0.8,1.9,2.2,0.9,3.1,3.8,0.8,0.2,10.9,9.1,8.6,6.9,2.6,9.6,6.4,15.1,34.59,All - Star
116,PF,Raef Lafrentz,9.9,6.5,2.9,0.1,1.2,4.4,5.0,0.8,3.8,4.3,0.9,0.6,0.7,0.9,0.3,8.3,18.7,10.5,0.9,7.5,8.5,10.5,4.3,34.54,All - Star
117,PF,Shawn Marion,10.3,5.0,2.6,0.3,1.0,4.7,5.0,0.9,3.7,3.8,1.0,1.0,1.2,0.8,0.3,9.3,14.4,9.4,2.6,6.3,9.0,11.5,6.4,34.45,All - Star
118,C,Ben Wallace,10.5,5.1,2.4,0.4,1.1,4.5,4.6,1.0,3.9,4.0,1.0,0.6,0.6,0.9,1.0,11.0,12.8,9.6,4.0,5.5,8.7,11.9,5.3,34.34,All - Star
