Rank,Position,Players,GP%,PPG,O.RPG,RPG,APG,SPG,BPG,TOPG,FGM,FGA,FG%,3PM,3PA,3PT %,TS%,FTR,Game Score
21,SF,Paul Pierce,100.00%,19.5,0.3,4.2,3.2,0.6,0.4,0.1,7.5,9.9,75.40%,3.1,4.8,64.32%,86.02%,0.98,29.74
22,PG,Chris Paul,80.00%,16.7,0.3,2.9,13.7,3.9,0.1,0.8,7.1,9.2,77.05%,1.8,2.9,64.04%,78.51%,1,29.42
23,PG,D'Angelo Russell,93.33%,16.7,0.4,2.8,9.2,2.3,0.3,0.5,6.9,8.6,80.33%,2.3,3.6,62.75%,88.73%,0.57,29.19
24,SG,Vince Carter,100.00%,19.9,0.2,4.1,2.6,1,0.7,0.2,8.2,10.5,78.34%,2.8,4.7,60.00%,86.82%,0.67,28.32
25,SF,DeMar DeRozan,100.00%,20.3,0.3,3,4.6,1.5,0.4,0.2,8.6,11.9,71.85%,1.9,3.3,58.46%,81.06%,0.4,27.98
26,PF,Zion Williamson,84.44%,20.5,0.7,7.8,3,0.3,1.3,0.2,8.1,9.6,84.89%,1.9,2.9,67.27%,94.98%,0.84,27.62
27,SG,Ray Allen,100.00%,17,0.1,2.6,3,1.3,0.4,0.2,6.3,8.8,71.59%,4.2,6.5,64.20%,93.79%,0.18,26.9
28,SG,Tracy McGrady,80.00%,24.5,0.4,5.9,3.7,0.6,2,0.4,10.4,13,79.62%,2.3,3.9,60.00%,87.56%,0.66,25.81
29,SF,Kelly Oubre,100.00%,14.5,0.4,4.1,3.1,0.7,0.4,0.1,5.6,7.3,77.68%,3,4.5,66.17%,93.63%,0.33,25.03
30,C,Bill Walton,100.00%,12.6,1.3,9.5,4.1,0.4,3.8,0.2,6.2,7,88.10%,0.2,0.4,38.46%,78.79%,0.67,24.55
31,SG,Amen Thompson,80.00%,16.9,0.3,2.8,6.2,3.2,0.6,0.4,7,9,78.06%,1.8,2.7,64.81%,83.59%,0.75,23.97
